topic,comment,agree number
先不说影响不影响cpr，影响了你不会摘下来么,,
"这个问题和抢救过程一样，外行人看来是一个开车问题，真正学习的时候其实很严肃。如果这个问题作为医学考试的题目，恐怕很多回答者会失分。
我们先来复习一下，这是网上顺手搜的流程，侵删。
心肺复苏操作步骤
1.判断意识
双手拍打患者双肩并呼叫病人，观察有无反应。
2.呼救帮助
立即呼叫其他医务人员帮助抢救，并携带除颤仪。
3.判断心跳、呼吸
掀开棉被，解开外衣，触摸颈动脉，同时观察胸廓起伏，判断心跳、呼吸情况。如心跳、呼吸停止，立即行心肺复苏，并记录抢救开始时间。
4. 胸外按压（C）
（1） 准备：挪开床头桌，迅速使病人去枕平卧，胸部下垫按压板，垫脚凳。
（2） 胸外按压30次（17秒完成）：
A. 部位：两乳头连线的中点或剑突上两横指
B. 手法：采用双手叠扣法，腕肘关节伸直，利用身体重力，垂直向下用力按压
C. 深度：胸骨下陷≥5cm
D. 频率：≥100次/分
5. 开放气道（A）
(1) 清理呼吸道：将病人头侧向一方，用右手食指清理口腔内异物
(2) 开放气道：开放气道方法为仰面抬颏法、托颌法。常用仰面抬颏法，方法为抢救者左手小鱼际置于患者前额，手掌用力向后压使其头部后仰，右手中指、食指剪刀式分开放在病人颏下并向上托起，使气道伸直，颈部损伤者禁用，以免损伤脊髓。
6. 人工呼吸（B）
使用简易呼吸器通气2次，采用“EC手法”，每6-8秒行人工呼吸1次，8-10次/分，每次呼吸约1秒，通气约0.5升，可见胸部起伏。
7. 持续心肺复苏
持续心肺复苏，胸外按压与人工呼吸比为30：2，以此法周而复始进行，直至复苏。
8.观察心肺复苏有效指征
（1） 观察心跳、呼吸：触摸颈动脉（10秒），观察呼吸情况。
（2） 观察意识：观察瞳孔变化、压眶反应、对光反射。
（3） 观察循环：观察颜面、口唇、甲床紫绀变化、末梢循坏改善情况，测量血压。
（4） 判断复苏成功：继续给予高级生命支持。
9.整理、记录
（1） 撤按压板，给病人整理衣服、头部垫枕、盖好棉被、安装床头挡。
（2） 洗手，记录抢救过程。
四、注意事项
1．2010（新版）CPR操作主要变化
（1） 实施人员应在非常短暂的时间内，迅速判断病人有无反应、呼吸及循环体征，评价时间不要超过10秒。
~ 1 / 2 ~
（2） 操作顺序变化：由A-B-C→→C-A-B 即：C胸外按压→A开放气道→B人工呼吸
（3） 保证胸外按压的频率和深度：频率≥100次/分，胸骨下陷≥5cm，婴幼儿按压深度为胸部前后径尺寸的1/3，约4-5 cm
（4） 最大限度地减少中断：将中断时间控制在10秒内
（5） 保证CPR效果：在条件允许情况下，医护人员每2分钟轮换施行者
（6） 在条件许可下，要立即给予电除颤，在电击前后要尽量避免中断胸部按压，每次电击后立即以按压重新开始CPR
2. 心脏按压方法
（1） 按压时手臂要伸直，垂直向下用力，不能弯曲，不要左右摆动。
（2） 不能撞击式地猛压。
（3） 向下压及向上放松的时间大致相等，保证胸廓完全回弹。
（4） 放松时，定位的手掌根部不得离开胸骨定位点，以免移位，但应放松，使胸骨不受任何压力。
3. 触摸颈动脉方法
触摸颈动脉位置要准确，用右手食指、中指触摸病人气管正中（男性患者可触摸到喉结后）再滑向颈外侧气管旁开2指处触摸颈动脉搏动。注意触摸颈动脉不宜用力过大，以免压迫气道造成呼吸道阻塞，不可同时触摸两侧颈动脉，防止头部供血障碍。
4. 简易呼吸器注意事项
（1）呼吸面罩的尖端应朝向鼻部，不可放反，以保证通气效果。
（2）正确掌握呼吸囊的挤压方法，保证准确的通气道，如球囊容量为1.5升，挤压球囊1/3,通气量约为0.5升。
（3）简易呼吸器末端可直接与氧气连接，如病人行气管插管，可将简易呼吸器与气管导管连接。


特别需要注意的是现在将C（circulation）人工循环，即心外按压放在非常重要非常紧迫的地位，特别是怀疑有心跳骤停的病人，从接触病人判断到开始心外按压要求不超过十秒。在这个要求下解开衣物甚至触摸颈动脉搏动都可以暂时省略，留到A:（assessment、airway）判断起呼吸道是否顺畅，是开放气道这一步来做。

所以解不解开bra不是问题，什么时候解开或者说什么条件下解开才是问题。
如果病人衣物很多，那在包括判断的十秒内肯定是要解开到能开展心外按压的最起码程度，比如厚重的棉衣羽绒服各类隔离服，剩下的即使有影响，没有达到全效果的心外按压也比延迟心外按压要好。如果正好随身携带伞兵刀，那肯定是从里到外一刀划开再来心外按压方便咯",,4
"日本有关部门做过一个专业调查：以在学校心脏骤停的232个中小学生为对象，在救护车到达之前，对使用AED的比例进行了调查，结果显示，小学、中学的男女差别不大，与男高中生相比女高中生的使用比例低了约30个百分点。
研究小组分析说：“对女高中生使用AED时，有一定的抵触情绪”。
这个调查一经公开，在网络上有各种各样的评论。AED指南上也写过关于AED对女性的施救和关怀的要求，网络上各种看法都有，人们都希望急救行为没有各种风险。
我们罗列一下网络上各种看法：
给女性患者进行心肺复苏和AED使用犹豫不决是理所当然的。
如果帮了有被打官司的风险的话，不帮的话就没有风险了。
如果施救不力，或者施救时弄错顺序的话会被承担责任。
如果碰到围观的人，有个别的用手机拍照或者摄影也会造成负面影响
就算救认识的人大家都已经很紧张，更不用说不认识的人，更不用说当面对女性的时候犹豫不决的心情是可以理解的。
冒着有法律风险的情况下救人，得不偿失。
以上各种反应都是可以理解的。但是，如果有人当场倒下了。如果周围只有你的话，你不伸出援手的话，患者可能会死。
所以应该无论如何请优先考虑这是件人命关天的事。本文是针对想帮助但是有点担心有点犹豫的人而写的。
使用AED会不会成为性骚扰？
抢救时因为紧张而出现抢救程序上的错误会不会问责？
《中华人民共和国民法典》第一百八十四条明确写着：因自愿实施紧急救助行为造成受助人损害的，救助人不承担民事责任。
所以，我们应该毫不犹豫地对患者使用AED进行心肺复苏。
心脏骤停每延迟1分钟，患者的生存概率将会下降7%到10% 。如果出现心脏骤停，马上开始胸外按压，并使用AED。特别是如果要人工呼吸，注意尽量把人工呼吸时间控制在10秒钟之内，避免因为人工呼吸而造成胸外按压中断太多的时间。
大声呼救，并向周围的人求助，同时也表明自己正在进行施救。
在急救中，对女性患者不要贸然的脱下衣服，一定要保护患者的隐私。首先应该是确认患者的意识和呼吸，并大声呼救，请求围观的人到附近去取AED和打120。
因为打120求救不仅可以得到救护车，还可以及时得到急救医生专业建议和指导。
对待女性患者时，建议大声呼救时请周围围观的女性帮忙。甚至可以请求周围围观的人帮你围上人墙来保护隐私。
对待女性患者在使用AED需要贴电极片的时候，衣服不用全部脱掉，在不脱胸罩的情况下，尽量避开胸罩对电极片的影响。贴上电极片后，再盖上上衣服对AED的使用是没有问题的。
另外，一个人持续胸外按压会非常消耗体力。随着时间推延胸外按压会越来越困难，按压变得弱，速度变得慢，所以我们倡导两人互相交替持续心肺复苏，一边继续心肺复苏一边等120的到达。
几乎所有非医务人员的普通施救者应该都是第一次施救，大都会都会处于紧张的状态下，这是可以理解的，这种情况下还要照顾异性是很难的。所以这个时候的肯定以人的生命为第一。
随着公民的法律意识和公共急救意识的加强，我们的社会会逐渐成为一个可以互相帮助的文明社会。
最后，想说点多余的话，要奉劝围观的人在现场随意的拍施救时照片和视频的行为，有可能会侵犯肖像权，有可能会侵犯患者隐私，有可能承担法律责任。做为救人的证据可以，但是不要随意进行网络传播。",,5
"不受影响，直接按就可以
而且，不是有很多Bra都是无钢圈的嘛",,
"我当时也这么想过，不过我们班女的较多，我没好意思问。后来和女朋友讨论过，结论是bra一般比较好解，不会太影响时间。当然，在现场的话肯定不会想这么多，只要不影响急救就会不管吧。抹胸的话还真没解过，不太清楚。话说我到现在也没弄明白冬天如果穿的厚怎么办，特别是我们这里的保暖衣有的很紧，正常脱可能都要四分钟以上……
刚问过女朋友了，她讲抹胸可以直接拉下来拉到肚子上，很轻松的，很多女生夏天热的时候回到房间都会拉下来，就和回房间解bra一样",,3
CPR应该没影响吧，但上课教的是要把所有衣物去除，紧急情况下也可以不解的吧…但如果要加AED的话应该要去掉，因为不能有金属啊,有人说是bra、皮带不松太紧会影响血液循环吧,
"为了高质量心肺复苏需要解开——为了识别准确的位置：胸骨中下段。
在生命面前，一些小的伦理问题就要为生命让路了。
孟子曰：“嫂溺不援，是豺狼也。嫂溺援之以手者，权也。”这种问题几千年前就讨论过了。
在那种封建保守的年代就已经有一定要救的思想存在！
当然，一些有经验的可以在患者穿着T恤时候也能识别胸骨位置。",,
"这bra的位置和按压点完全不同呀。。。

等等！我突然想起上次志愿者培训的时候急救老师说的话
“人还没不行的时候不要强行按倒了做CPR啊！！！！”

我突然怀疑题主有邪恶的小想法(¬_¬)",怕是解开就可以了嘛😂╮（╯＿╰）╭,5
是这样的，美国心脏学会基础生命支持课程中说 到达现场，判断现场环境安全，轻拍双肩呼唤双耳没反应后，叫围观人员请求援助内容包括启动emss和去取aed，之后是判断呼吸脉搏，若无意识无呼吸，脱去病人衣物，按流程进行cpr.脱衣的目的是方便体外自动除颤仪操作，那么你的问题是有bra怎么办，假如钢丝圈的bra完好无损有织物完整包裹的情况下，假如不影响贴电极片，不用去除。假如影响除颤，钢丝圈外露，那么去掉，毕竟是个不安全因素。资料上没有明确规定这一点，但是在现场急救员要有自己的判断。那么现在大多数城市没有普及aed，我的意见，直接按流程复苏。 bra可能影响电击除颤，但对心肺复苏没有太大影响，假如有，仅仅可能轻微影响通气和胸廓回弹。假如是冬季，脱去衣物会浪费大量的时间不如直接复苏,,3
"之前有在市急救中心培训过cpr，老师特别说做cpr要解开衣物的原因出了会影响按压力度和深度，还有就是衣物大多比较光滑，如果不去除的话每次按压掌跟就会轻微移动，手臂也不能保证垂直，那么移动的掌跟和斜着按压的手臂很有可能会把左侧的肋骨压骨折。所以为了避免还是把衣物全部去除。







不过目前自己没有给女性做过cpr，所以现实中遇到了还指不定会怎么样",,2
cpr和bra有啥关系，我们考cpr的时候不用管衣服啊，倒是做aed的时候你得给她上身扒光了尤其不能有bra这种带金属的物品。,,2
额～等你真正要急救了，根本没有性别之分，救人要紧，一般话直接剪刀咔嚓剪掉，不然很碍事,,1
自己遇到过，我又不是单身，所以一只手伸进去就给解了，反正事后一个劲的谢我，也没说咋地，是的箭凸不会影响但是束缚是有的，更何况花里胡哨的带了些饰品,高手，单手能解！妈蛋的，为何我一只手解开人家就说我是老司机😰救人的老司机，挺好的呀，,1
又不是不锈钢做的bra能有什么影响,有的bra不是有钢圈么？……按的位置又不是钢圈位置,1
"如果你看懂了胸外按压的原理，那么你就会发现，女士的内衣是应该解开的，因为女士的胸衣、男同志的领带等衣物对患者的束缚力很大，增加了患者的心脏压力，可能还会限制胸廓的起伏。如果是带钢圈的内衣，按压的时候还有可能把钢圈按到患者的皮肤里面，甚至是肺里面，可造成出血，气胸或者血胸等严重的危害。所以，为了救命，必须解开女士的内衣，大家不要有太多的顾虑。当然，患者的隐私也是需要得到保护的，可以将女患者的胸罩推上去/拉下来，然后用薄一点的衣服盖在上面（你的T恤也可以），这样是可以的，即不影响按压效果，又保护了患者的隐私。

普外科曾医生：给女患者做心肺复苏的时候，需要解开内衣吗？
128 赞同 · 33 评论文章",,1
(￣▽￣)不请自来 刚考了AHA的Heartsaver First Aid CPR AED证 我们上课的时候真的问了老师这个问题的 老师是这么说的 如果你能在保证你快速解开……比如10秒内（作为一个妹子 我单手解自己只需要2秒不到）解开的话 那就解开 一共才黄金5分钟 你要是死活半天解不开那不是浪费时间么……特别是内衣有前扣和后扣之分……如果没见过前扣的 我保证你找扣在哪儿5分钟就过去了……还救什么人……还有就是按压6厘米也只有正常自己心跳血流量的80％ 按压的越浅供血量越少……真的要压到位啊 尽管压到位真的很累……最后一点 AED到了第一时间用AED！别犹豫！！！,不会解bra估计需要旁边的女性帮忙不需要你反手解的 啊哈哈哈哈.....有女性帮忙最好 毕竟女生都有单手解bra的技能 不能就正面解 还是挺简单的看到这里才算明白了：“怀疑有心跳骤停的病人，从接触病人判断到开始心外按压要求不超过十秒”，能解就解，不会解就先按压，多用点力，同时让其他人来解（就算解开也不用扔到一边吧，只是为了不让她勒着而已，解开后让bra继续盖着也行吧）bra都是有弹性的，向上一拉不就能暴露胸部了么....钢圈的会勒住身体其它部分的呀 本来心脏骤停就已经呼吸不正常了……这不是额外添堵么,1
"也这个问题问过老师，记得回答是最好解，不过院外的话……
因为有的bra里面有钢圈，可能会伤到乳房。",,
像我这种双手解女朋友bra都要两分钟的人，还是直接cpr吧,一脸嫌弃。。。,
不是要扒衣服的吗?完事了还得给扣上? 不过被紧急状况吓呆了可能确实会忘掉?,,
"需要解开文胸扣子，不一定脱下来
扣子太紧会影响效果，就像男性胸外按压紧急的时候会剪掉衣服一样",,
