title,location,img,link
心肺复苏模拟人 CPR急救护理模型 心肺复苏模型 人工呼吸急救假人,上海,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/111986461/O1CN01gCVjWN1xbBZUe5aEd_!!0-item_pic.jpg_360x360Q90.jpg_.webp,https://item.taobao.com/item.htm?id=614557638742&ns=1&abbucket=16#detail
高级全自动电脑心肺复苏模拟人急救训练假人体模型CPR490全科医模,上海,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2958686104/O1CN013gSYrg1uxgDcvwz04_!!2958686104.png_360x360Q90.jpg_.webp,https://item.taobao.com/item.htm?id=630346236455&ns=1&abbucket=16#detail
益模 高级成人心肺复苏模拟人CPR690半全身医用急救假人触电窒息院前抢救训练人体模型胸外按压人工呼吸教具,浙江 温州,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2209038526505/O1CN017R4Prb1xvL3GkSzM4_!!0-item_pic.jpg_360x360Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=634480747556&ns=1&abbucket=16
心肺复苏模拟人半全身医学训练假人CPR急救模型AED除颤演练模具,浙江 温州,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2214797965725/O1CN01PpFaXR1sA6GDIpQSv_!!0-item_pic.jpg_360x360Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=686291659245&ns=1&abbucket=16
医博 心肺复苏模拟人全身 人工呼吸急救训练模型假人 橡皮人 CPR480心肺复苏人体模型半身教学用医学人体模型,上海,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=607537729217&ns=1&abbucket=16
心肺复苏模拟人全身半CPR心脏胸外按压体模特医学用触电急救假人,上海,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=14776966537&ns=1&abbucket=16#detail
心肺复苏模拟人胸外按压急救培训医用假人消防演练模型CPR610,北京,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=584458579619&ns=1&abbucket=16#detail
CPR心肺复苏模拟人全身半身医用急救假人工呼吸训练人体模型教学,浙江 温州,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=620440571390&ns=1&abbucket=16#detail
心肺复苏模拟人全身急救CPR人体模型半身人工呼吸按压训练假人,浙江 温州,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=679127248034&ns=1&abbucket=16#detail
心肺复苏模拟人半身全人工呼吸心脏按压急救演练假人模特型CPR690,山东 济南,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=695763388772&ns=1&abbucket=16#detail
优模心肺复苏模拟人CPR全身半身医用急救假人工呼吸训练人体模型,上海,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=582733598379&ns=1&abbucket=16
CPR心肺复苏模拟人全半身心脏按压人工呼吸假人急救训练教学模型,上海,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=686391019839&ns=1&abbucket=16#detail
高级婴儿儿童心肺复苏训练模型   婴儿气道埂塞及CPR模型  海姆立克急救假人 医用婴儿心肺复苏训练模型继科,北京,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=638156280777&ns=1&abbucket=16
心肺复苏模拟人全半身CPR应急救援橡皮人工呼吸训练习假人体模型,山东 青岛,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=641701788441&ns=1&abbucket=16#detail
CPR490高级心肺复苏模拟人全身医用急救假人工呼吸训练人体模型,浙江 温州,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=622642195478&ns=1&abbucket=16#detail
心肺复苏模拟人半身全身CPR假人胸外按压人工呼吸急救训练人体模型,上海,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=613951275354&ns=1&abbucket=16
弘模婴儿心肺复苏模拟人新生儿急救训练模型人CPR小儿窒息异物梗阻复苏模型假人气管插管训练模型人,上海,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=656299487669&ns=1&abbucket=16
心肺复苏模拟人CPR全半身心脏按压急救训练假人人工呼吸教学模型,浙江 温州,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=672187033676&ns=1&abbucket=16#detail
心肺复苏模拟人CPR490急救训练假人医学用人工呼吸演练人体模型,浙江 温州,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=692276992815&ns=1&abbucket=16#detail
心肺复苏模拟人急救培训医学用CPR人体教学半身模型人工呼吸假人,北京,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=557399072696&ns=1&abbucket=16
泰贵医学TG/CPR150高级婴儿梗塞模型新生儿气道阻塞及心肺复苏模拟假人海姆立克急救训练人体仿真娃娃模具,上海,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=607832834037&ns=1&abbucket=16
心肺复苏模拟人CPR全身心脏按压人体急救培训半身假人工呼吸模型,北京,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=628538804867&ns=1&abbucket=16#detail
医训CPR15170高级儿童心肺复苏模拟人小儿心肺复苏模型医学用儿童急救假人体模型模特,上海,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=644391801172&ns=1&abbucket=16
心肺复苏模拟人 CPR心脏复苏急救训练人体模型医学用教学模型假人,北京,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=545408720503&ns=1&abbucket=16#detail
智能儿童心肺复苏模拟人CPR医学训练复苏假人工呼吸急救训练模型,北京,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=643410667753&ns=1&abbucket=16#detail
心肺复苏模拟人半全身医学训练假人CPR急救模型AED除颤演练模具,广东 深圳,https://g.alicdn.com/s.gif,https://detail.tmall.com/item.htm?id=712021258054&ns=1&abbucket=16
AED自动体外模拟除颤仪训练机心肺复苏假人CPR心脏急救培训模型,上海,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=682468122621&ns=1&abbucket=16#detail
心肺复苏模拟人cpr半全身急救人工呼吸按压医学训练伤员假人690S,上海,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=629754647485&ns=1&abbucket=16#detail
泰贵医学TG/CPR110全身心肺复苏模拟人心脏急救人工呼吸医用假人,上海,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=670181721223&ns=1&abbucket=16#detail
CPR480心肺复苏模拟人医用训练假人急救橡皮人体急救援模特模型人,上海,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=38057914026&ns=1&abbucket=16#detail
心肺复苏模拟人半身心脏医用教学aed全身CPR49急救训练假人体模型,浙江 温州,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=639661171018&ns=1&abbucket=16#detail
医训心肺复苏模拟人CPR急救训练橡皮人医学教学假人工呼吸模拟人,上海,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=45217722261&ns=1&abbucket=16#detail
CPR心肺复苏模拟人全身急救训练培训假人医考模型AED除颤仪训练机,浙江 温州,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=688487261111&ns=1&abbucket=16#detail
继科心肺复苏模拟人CPR全身心肺训练假人教学急救模型消防演模型,四川 成都,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=706013799916&ns=1&abbucket=16#detail
心肺复苏模拟人CPR半全身人工呼吸心脏按压急救训练假人体模型,上海,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=631210356921&ns=1&abbucket=16#detail
心肺复苏模拟人全身CPR急救人体模型半身人工呼吸按压训练假人,浙江 温州,https://g.alicdn.com/s.gif,https://item.taobao.com/item.htm?id=680285701068&ns=1&abbucket=16#detail
心肺复苏模拟人CPR490急救训练假人医学用人工呼吸演练人体模型,浙江 温州,https://g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i3/2917370030/O1CN01YxR1yS1C5mgB1lV3e_!!0-saturn_solar.jpg_360x360Q90.jpg_.webp,https://click.simba.taobao.com/cc_im?p=cpr%BC%D9%C8%CB&s=429861170&k=961&e=kUpF%2FQ0vNGwzeRCyxvsCZ%2BKnDAj0Dh1wrl%2FyeH3QeZ6G%2BbEBpzdq%2F7L6Crx29rXPZOwge9cZnSPC%2Bzuzq5eQPDOhPVDOljeWfLrsFFdi0KLAh%2Bk2e66krrsCxvk8cpj3oDFPG0MVHzRzz3VZbA36uTW97KJGUgrQoHudSxqxt1SjvVvXeD6jB7bZ0fX5RViYDAWQAXjkCBhL4l%2Fd7HD9Hl45LfjadhrD62GtfmDB%2FQnWX2qEPHymUtGP8RXoaAhBuE9eCyTAhj%2F4P6sylJeiYd6rOYG0oqNxY9wcizaY0hLuJU5GfaR3no95cOhbmOflT93WrkSIRO9%2FyyVyw06m%2FV%2BrmtzK%2BQEPuU8k4qhX3wldNVG8stM3Uw%2FoMLgZ5i0itF9gDdm1ZCuF5mJlGLFSVESiZ5%2FPAnOw4yzTYiNtXMYVZ77iFrRq2Nvz6BwY04T00u7rzDdquywLpcTefOgpgqdxC%2Fb1LQ5pJl7DCihO7KMz8y6K6t5ibXBeNdyz67SWZ%2BRtuIX13HqaZmQRZs6%2FJ0AlHC4zLjy%2B82fqMwBFUQyV%2BQxWOivki4g0WMvb3Gf7nwgyRmGVryCERFV%2B6%2FQgwulBz4BXbeAYDYzeGEbAI8Ctl%2B7l5Z%2FwwFgQMMzIJHUm0ApxuRbGYyu2SVt4%2Fr8ZXg33SSDRHEGvsIYE%2FzTkPViqVCfBU%2FsqL5oGvy2eqrEOWG5lfZIJrFje4ELtsJUpEk8MUtgDc5r07gFQzcmxZ142diXiH8nVx5S%2B9FvT8qEBYe6E9CffGvEepo18j214%2BOZCdR0iP2yhbfdKq3NQvfdVpP0UO93TEg%2Br1H7kdTe6X5swgOw3E5JbDjBqprCz5tfgob7ovnjbAr44rJXOMjiKzvAz1goIcyeWHCYfZ%2FzGKRnODHKIPAHWzE0uvAwgALRdL%2Fyxb2FdQdbWpBBwM7h6avyA48d4sEgnI5HxDk2D#detail
高级婴儿儿童心肺复苏模拟人婴儿梗塞气道阻塞急救及CPR训练模型,北京,https://g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i1/128177215/O1CN01exrYfa23AWImCtDg6_!!0-saturn_solar.jpg_360x360Q90.jpg_.webp,https://click.simba.taobao.com/cc_im?p=cpr%BC%D9%C8%CB&s=429861170&k=961&e=0mvOAL1cTF8zeRCyxvsCZ%2BKnDAj0Dh1wrl%2FyeH3QeZ6G%2BbEBpzdq%2F7L6Crx29rXPnCnh3dBrT616egJm7OT18i70dyZzraVifLrsFFdi0KLAh%2Bk2e66krrsCxvk8cpj3oDFPG0MVHzRzz3VZbA36uTW97KJGUgrQoHudSxqxt1SjvVvXeD6jB7bZ0fX5RViYDAWQAXjkCBhL4l%2Fd7HD9Hl45LfjadhrD62GtfmDB%2FQnWX2qEPHymUtGP8RXoaAhBuE9eCyTAhj%2F4P6sylJeiYd6rOYG0oqNxY9wcizaY0hLuJU5GfaR3nqx%2FvoEUiOKzZeaCF5JW0VXRZOlzDHdJqwhZxf%2FTR2uRwZm4xy6uxHp%2F5zJMGZ8b1O5qQLch1%2F6Q3sseDULMUNWF5mJlGLFSVESiZ5%2FPAnOw4yzTYiNtXMYVZ77iFrRq2Nvz6BwY04T0Pb54WcLkCmESKOM6keZZk6dxC%2Fb1LQ5pJl7DCihO7KPXylC2jPuRmiyoXC82R%2BrdcB6NdT9riLtZR7B1FIysVK97kz7ksQLIvkjZLiQDs6j2%2FbYXGDKPRPpj5Q6Ib6ViBYLATQe4sjVOcCrN1qnqm1uMX%2Fmg%2B5f%2FTJGLRYIOcEVlD6Atg7FMbjxRhoe%2B%2BK4XJauogOaBR9pbUTYfvW1JAAgM4v3gDJg6U%2FHhEZJbi9K8Od1%2F%2B0JfJLalrggPVrns0HT4t%2F8MwCqfUVn%2Fefx5ePKkYw7PbZhykoiBhd%2B83EqxsroZpmfGqNIvkBtABUvMKVH3NgF8n%2B4epo18j214%2BD7jg9fWGF4xjHGyVP1P9x3rDklpAEXsrkNcxyB5AWI5f%2FdLgyt%2BrKPl3Bf%2BSqSgM8%2FNm9N3hg6x3OYVlQenc9UpLVQ1xpMPyXJV84Nz2ll4oz6u6cJuZVzAmB99PU44CM37NGyiQGy2ls8lH%2BkJbuIydobKky%2BvNc%2FIdClEP6BW#detail
CPR490高级心肺复苏模拟人全身医用急,浙江 温州,https://g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i4/28902000/O1CN01r6Qlv41Qe2nw7bxaU_!!0-saturn_solar.jpg_360x360Q90.jpg_.webp,https://click.simba.taobao.com/cc_im?p=cpr%BC%D9%C8%CB&s=429861170&k=985&e=d36oz2E4Jq8zeRCyxvsCZ%2BKnDAj0Dh1wrl%2FyeH3QeZ6G%2BbEBpzdq%2F7L6Crx29rXPnCnh3dBrT61tnPK6eJ7NNwfkI7ZFtMQFGMFUlA%2F08I3Ah%2Bk2e66krrsCxvk8cpj3oDFPG0MVHzRzz3VZbA36uTW97KJGUgrQoHudSxqxt1SjvVvXeD6jB7bZ0fX5RViYDAWQAXjkCBhL4l%2Fd7HD9Hl45LfjadhrD62GtfmDB%2FQnWX2qEPHymUoBzMHEYiIINWkajeIgKZ8B%2FmBQ7tpbjryZa0XED49QCZ5SPIE1%2FoYkbczcQVeCNeVFqjYbiqghJaO3CZFUOtoGQN6eamzZAvykxd2NgNFmPo5e9lo9yrxf8DdRN6UjNYU%2FgIWyDb2GY55IZBe5YaYA%2FvzNrPUL4zmHcpDR6KwOG%2Bn9wP66GtK3vfltX11Fv6aelvkkrGX8C1IBX5oSex%2Bi5zTrt7LQ6R5DtFrX8wzuaMA3V4cSKncmjl72Wj3KvF4aOroL6%2BPeJkuWopm%2FhEmytjmCtP0ZX4l%2F0litMaRIUMeJBW%2Be59AFZR7B1FIysVK97kz7ksQLIvkjZLiQDs6j2%2FbYXGDKPRFiRAmF8TMdmBYLATQe4sjVOcCrN1qnqm1uMX%2Fmg%2B5f%2FTJGLRYIOcEVlD6Atg7FMbjxRhoe%2B%2BK4XJauogOaBR9pbUTYfvW1JAAgM4v3gDJg6U%2FHhEZJbi9K8Od1%2F%2B0JfJGJMaju%2B53D7gbzepHaYLOne4ELtsJUpEk8MUtgDc5r07gFQzcmxZ142diXiH8nVx7cgIPKPkbNmk8LTTh8Aj7uNE5zHO1ILJovKokRGdDedLu9I0kKczhNDYbzIpo2MVSM6auvE%2FRCYPo4jmt92jQPL%2Fvoy%2F1Ngmz%2F8DLoalhTbXoIZTsewaD1lvYw3ZMAbfGbm5dsnMNMhLhcXF2XfPs0Y7cIUPwslvju1%2FVa6mALe7%2Fn7ZFdfxN6XyT6gLmHD0Q%3D%3D#detail
心肺复苏训练模拟人CPR690半全身医用急救假人触电窒息院前抢救,湖北 黄石,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2214671941519/O1CN011KFeHO1N5kS23mwun_!!2214671941519.jpg_360x360Q90.jpg_.webp,https://item.taobao.com/item.htm?id=710821083483&ns=1&abbucket=16#detail
心肺复苏训练模拟人CPR全身心肺训练假人教学急救模型消防演模型,贵州 铜仁,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2214671941519/O1CN016zTlKE1N5kRtH0Wns_!!2214671941519.jpg_360x360Q90.jpg_.webp,https://item.taobao.com/item.htm?id=710821243047&ns=1&abbucket=16#detail
高级心肺复苏模拟人全身医用急救假人工呼吸训练人体模型 CPR290,浙江 台州,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/674213044/O1CN01JVM7WL1YMCRrPxUzs_!!674213044.jpg_360x360Q90.jpg_.webp,https://item.taobao.com/item.htm?id=710538612996&ns=1&abbucket=16#detail
医用CPR全身心肺复苏模拟人复苏急救教学人体模型AED除颤训练假人,北京,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/3322835554/O1CN019j28g61qtmKkbsSJW_!!3322835554.jpg_360x360Q90.jpg_.webp,https://item.taobao.com/item.htm?id=555913949742&ns=1&abbucket=16#detail
沪模 HUMO/CPR590S液晶彩显电脑心肺复苏模拟人CPR590安全急救训练教学模型 胸外按压人工呼吸抢救练习假人,上海,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2200537816372/O1CN01dp6Yfy1wwQIeL9ElU_!!0-item_pic.jpg_360x360Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=583744113852&ns=1&abbucket=16
益莫 KMU/CPR580高级中屏幕液晶自动电脑心肺复苏模拟人 模拟心电图急救训练教学假人体模型安全培训考核,上海,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2209038526505/O1CN01vjEuzB1xvL2nLxXh7_!!0-item_pic.jpg_360x360Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=631453280089&ns=1&abbucket=16
柏乐教学BL-CPR100半身心肺复苏模拟人心脏呼吸急救训练假人模型,上海,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2213098653165/O1CN017IAndM1ZFcHmfIkg7_!!2213098653165.jpg_360x360Q90.jpg_.webp,https://item.taobao.com/item.htm?id=667785182424&ns=1&abbucket=16#detail
CPR心肺复苏模拟人急救医学用全身人体教学半身模型人工呼吸假人,,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2622428334/O1CN01Fs2vzn2BR1dZQrAYu_!!2622428334.jpg_360x360Q90.jpg_.webp,https://item.taobao.com/item.htm?id=710129638407&ns=1&abbucket=16#detail
继科心肺复苏模拟人CPR全身心肺训练假人教学急救模型消防演模型,北京,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/3322835554/O1CN01TkeqYj1qtmRg2U1Gq_!!3322835554.jpg_360x360Q90.jpg_.webp,https://item.taobao.com/item.htm?id=580865381438&ns=1&abbucket=16#detail
